Points;Local;Goals;xG;Shots on target;Passes ;Pass %;Possession, %;Losses ;Recoveries ;Duels won %;Penalty area entries (runs / crosses);Conceded goals;Shots against / on target;Aerial duels won %;Forward passes;Back passes ;% of all Passes Forward ;% of all passes Back
0;1;0;1.6;2;474;87.34;52.27;102;80;45.05;34;4;20;43.24;155;64;0.33;0.14
0;0;1;1.19;1;265;75.85;31.85;99;71;40.59;18;2;28;41.46;107;39;0.40;0.15
3;1;2;1.48;8;593;87.69;59.78;93;89;45.83;41;0;9;63.83;180;99;0.30;0.17
0;0;1;0.8;2;463;79.27;47.56;138;100;45.45;38;2;10;45.45;161;60;0.35;0.13
3;1;6;2.55;8;271;83.76;34.53;83;61;48.45;20;1;15;52.17;95;38;0.35;0.14
0;0;0;1.45;2;367;80.11;40.43;123;96;51.58;29;2;22;53.13;130;38;0.35;0.10
3;1;3;1.01;6;158;65.82;25.01;88;71;45.36;15;1;13;24;66;20;0.42;0.13
3;1;2;1.05;4;284;77.82;33.79;101;86;42.79;23;0;12;28.57;113;33;0.40;0.12
0;0;2;1.67;6;403;78.66;45.34;105;73;45.06;37;4;12;50;134;54;0.33;0.13
0;1;1;1.45;4;400;80.75;43.87;105;84;45.5;26;2;8;48.65;135;68;0.34;0.17
0;0;0;1.14;2;351;78.92;39.42;97;86;54.45;40;3;12;50;137;56;0.39;0.16
3;0;1;1.42;5;444;84.01;43.93;116;92;43.3;25;0;9;39.13;144;89;0.32;0.20
1;1;2;1.69;7;398;81.66;46.05;100;83;49.73;27;2;9;16.67;139;70;0.35;0.18
3;0;3;2.23;6;338;84.02;39.22;99;86;53.62;15;1;11;61.29;108;49;0.32;0.14
3;1;2;2.75;5;563;87.21;59.34;91;87;48.89;46;0;5;42.86;163;91;0.29;0.16
3;0;5;1.98;6;550;88.91;49.01;82;72;55.11;24;0;15;34.78;159;70;0.29;0.13
3;1;2;2.57;8;585;88.21;59.57;111;93;43.89;34;0;10;34.38;181;89;0.31;0.15
3;0;2;0.95;7;448;83.93;43.56;128;101;43.82;9;0;22;32.26;163;84;0.36;0.19
3;1;1;0.57;4;528;82.39;57.25;120;96;47.91;24;0;10;41.67;183;80;0.35;0.15
0;1;0;0.15;0;399;81.95;44.94;102;86;43.54;20;1;11;40.54;141;81;0.35;0.20
