Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Casa Ryda,ES,Smart TV,0,sell,,select,title_results,2023-11-03 08:55:21
Casa Ryda,ES,Smart TV,0,coo,,play,title_results,2023-11-02 12:20:36
Casa Ryda,ES,Smart TV,0,coo,,select,title_results,2023-11-02 12:20:34
Casa Ryda,ES,HTML 5,0,spanish,,select,suggestion_results,2023-10-15 21:24:33
Casa Ryda,ES,Smart TV,0,mex,,play,suggestion_results,2023-10-13 18:23:30
Casa Ryda,ES,Smart TV,0,mex,,select,suggestion_results,2023-10-13 18:23:27
Casa Ryda,ES,Smart TV,0,mex,,select,suggestion_results,2023-10-13 18:23:20
Casa Ryda,ES,Smart TV,0,mex,,select,suggestion_results,2023-10-13 18:22:50
Casa Ryda,ES,Smart TV,0,mex,,select,suggestion_results,2023-10-13 18:22:04
Casa Ryda,ES,Smart TV,0,span,,select,suggestion_results,2023-10-13 18:21:27
Casa Ryda,ES,Smart TV,0,span,,select,suggestion_results,2023-10-13 18:20:35
Casa Ryda,ES,HTML 5,0,the o,"The Office (U.S.): Season 3: ""Initiation""",play,title_results,2023-10-11 21:19:30
Casa Ryda,ES,Smart TV,0,baking,,play,title_results,2023-04-28 13:47:31
Casa Ryda,ES,Smart TV,0,baking,,play,title_results,2023-04-28 13:47:11
Casa Ryda,ES,Smart TV,0,baking,,select,title_results,2023-04-28 13:47:09
Casa Ryda,ES,Smart TV,0,baking,,play,title_results,2023-04-28 13:46:44
Casa Ryda,ES,Smart TV,0,baking,,select,title_results,2023-04-28 13:46:42
Casa Ryda,ES,Smart TV,0,b,,play,title_results,2023-04-27 18:58:38
Casa Ryda,ES,Smart TV,0,b,,select,title_results,2023-04-27 18:58:36
Casa Ryda,ES,Smart TV,0,food,,select,title_results,2023-04-19 13:25:07
Casa Ryda,ES,Smart TV,0,food,Food on the Go,select,title_results,2023-04-19 13:24:37
Casa Ryda,ES,Smart TV,0,food,,select,title_results,2023-04-19 13:24:17
Casa Ryda,ES,Smart TV,0,food,,select,title_results,2023-04-19 13:22:34
Casa Ryda,ES,Smart TV,0,food,,play,title_results,2023-04-18 12:43:30
Casa Ryda,ES,Smart TV,0,food,,play,title_results,2023-04-18 12:14:52
Casa Ryda,ES,Smart TV,0,food,,select,title_results,2023-04-18 12:14:28
Casa Ryda,ES,Smart TV,0,,,play,prequery_results,2023-04-17 09:15:40
